"","bill.number","bill.sponsorID","bill.cosponsorID","bill.lp"
"1","08.3464","3885","463",48
"2","08.3464","3885","3884",48
"3","08.3464","3885","1115",48
"4","08.3464","3885","3883",48
"5","08.3464","3885","1145",48
"6","08.3464","3885","3870",48
"7","08.3182","1125","3833",48
"8","08.3182","1125","1288",48
"9","08.3182","1125","1106",48
"10","08.3182","1125","1131",48
"11","08.3182","1125","3894",48
"12","08.3182","1125","3911",48
"13","08.3182","1125","3891",48
"14","08.3182","1125","3899",48
"15","08.3182","1125","1152",48
"16","08.3182","1125","3903",48
"17","08.3431","3910","520",48
"18","08.3431","3910","146",48
"19","08.3431","3910","1127",48
"20","08.3431","3910","3899",48
"21","08.3431","3910","500",48
"22","08.3431","3910","3909",48
"23","08.3431","3910","1115",48
"24","08.3431","3910","1137",48
"25","08.3431","3910","489",48
"26","08.3431","3910","3883",48
"27","08.3431","3910","15",48
"28","08.3431","3910","3876",48
"29","08.3431","3910","28",48
"30","08.3431","3910","396",48
"31","08.3431","3910","1121",48
"32","08.3431","3910","1118",48
"33","08.3431","3910","1295",48
"34","08.3431","3910","1336",48
"35","08.3431","3910","1111",48
"36","08.3431","3910","3892",48
"37","08.3431","3910","820",48
"38","08.3431","3910","1159",48
"39","08.3431","3910","268",48
"40","08.3431","3910","1108",48
"41","08.3431","3910","3890",48
"42","08.3431","3910","3884",48
"43","08.3431","3910","472",48
"44","08.3431","3910","1123",48
"45","08.3431","3910","3902",48
"46","08.3431","3910","3911",48
"47","08.3431","3910","318",48
"48","08.3431","3910","3896",48
"49","08.3431","3910","304",48
"50","08.3431","3910","460",48
"51","08.3431","3910","3887",48
"52","08.3431","3910","797",48
"53","08.3431","3910","3867",48
"54","08.3431","3910","91",48
"55","08.3431","3910","519",48
"56","08.3431","3910","307",48
"57","08.3431","3910","1343",48
"58","08.3431","3910","3912",48
"59","08.3431","3910","1135",48
"60","08.3431","3910","470",48
"61","08.3431","3910","273",48
"62","08.3431","3910","487",48
"63","08.3431","3910","1294",48
"64","08.3431","3910","348",48
"65","08.3431","3910","3877",48
"66","08.3431","3910","473",48
"67","08.3431","3910","319",48
"68","08.3431","3910","490",48
"69","08.3431","3910","214",48
"70","08.3431","3910","1126",48
"71","08.3431","3910","3886",48
"72","08.3431","3910","3873",48
"73","08.3431","3910","1105",48
"74","08.3431","3910","3897",48
"75","08.3431","3910","478",48
"76","08.3431","3910","1279",48
"77","08.3431","3910","3879",48
"78","08.3431","3910","3922",48
"79","08.3431","3910","1233",48
"80","08.3431","3910","3885",48
"81","08.3431","3910","452",48
"82","08.3431","3910","1104",48
"83","08.3431","3910","3872",48
"84","08.3431","3910","514",48
"85","08.3431","3910","3901",48
"86","08.3431","3910","479",48
"87","08.3431","3910","542",48
"88","08.3431","3910","1145",48
"89","08.3431","3910","330",48
"90","08.3431","3910","321",48
"91","08.3431","3910","3880",48
"92","08.3431","3910","3870",48
"93","08.3431","3910","3894",48
"94","08.3431","3910","151",48
"95","08.3431","3910","1119",48
"96","08.3431","3910","26",48
"97","08.3431","3910","1130",48
"98","08.3431","3910","1142",48
"99","08.3431","3910","513",48
"100","08.3553","3892","506",48
"101","08.3553","3892","3870",48
"102","08.3553","3892","1135",48
"103","08.3553","3892","3884",48
"104","08.3553","3892","3902",48
"105","08.3553","3892","3909",48
"106","08.3553","3892","1233",48
"107","08.3553","3892","151",48
"108","08.3553","3892","1294",48
"109","08.3553","3892","3901",48
"110","08.3553","3892","3878",48
"111","08.3553","3892","91",48
"112","08.3553","3892","336",48
"113","08.3553","3892","1111",48
"114","08.3553","3892","3890",48
"115","08.3553","3892","3883",48
"116","08.3553","3892","479",48
"117","08.3553","3892","3887",48
"118","08.3553","3892","214",48
"119","08.3553","3892","1121",48
"120","08.3215","1138","1343",48
"121","08.3215","1138","1113",48
"122","08.3215","1138","360",48
"123","08.3215","1138","3904",48
"124","08.3215","1138","3897",48
"125","08.3215","1138","3882",48
"126","08.3215","1138","3931",48
"127","08.3215","1138","449",48
"128","08.3215","1138","3891",48
"129","08.3400","823","801",48
"130","08.3400","823","273",48
"131","08.3400","823","435",48
"132","08.3391","330","1130",48
"133","08.3391","330","1346",48
"134","08.3391","330","3871",48
"135","08.3391","330","3906",48
"136","08.3391","330","1071",48
"137","08.3391","330","1104",48
"138","08.3391","330","1117",48
"139","08.3391","330","502",48
"140","08.3391","330","3905",48
"141","08.3391","330","1288",48
"142","08.3391","330","1143",48
"143","08.3391","330","1106",48
"144","08.3391","330","1126",48
"145","08.3391","330","1337",48
"146","08.3391","330","490",48
"147","08.3391","330","498",48
"148","08.3391","330","1343",48
"149","08.3391","330","450",48
"150","08.3391","330","3874",48
